time,pitch_desired,ang_pitch,angvel_pitch,u2
1.9,0.26882102,0.292529442,-0.328252049,-0.001826946
1.92,0.261542249,0.285873053,-0.337386776,-0.001784325
1.94,0.254098282,0.279036101,-0.346308403,-0.001740578
1.96,0.246493821,0.272022904,-0.355011295,-0.001695732
1.98,0.23873367,0.264837892,-0.363489953,-0.001649814
2,0.230822729,0.257485602,-0.371739024,-0.001602854
2.02,0.222765995,0.249970679,-0.379753296,-0.001554882
2.04,0.214568558,0.242297869,-0.387527707,-0.001505928
2.06,0.206235595,0.234472018,-0.395057348,-0.001456023
2.08,0.197772369,0.22649807,-0.402337463,-0.001405198
2.1,0.189184225,0.218381061,-0.409363452,-0.001353485
2.12,0.180476589,0.210126118,-0.416130879,-0.001300918
2.14,0.17165496,0.201738454,-0.422635468,-0.001247529
2.16,0.16272491,0.193223369,-0.428873112,-0.001193352
2.18,0.15369208,0.184586239,-0.43483987,-0.001138421
2.2,0.144562174,0.17583252,-0.440531974,-0.001082771
2.22,0.135340959,0.166967742,-0.445945829,-0.001026437
2.24,0.126034261,0.157997504,-0.451078015,-0.000969455
2.26,0.116647956,0.148927471,-0.45592529,-0.000911861
2.28,0.107187974,0.139763372,-0.460484593,-0.00085369
2.3,0.09766029,0.130510996,-0.464753044,-0.000794981
2.32,0.088070922,0.121176186,-0.468727947,-0.000735769
2.34,0.078425926,0.111764838,-0.472406792,-0.000676092
2.36,0.068731395,0.102282898,-0.475787254,-0.000615989
2.38,0.058993451,0.092736353,-0.478867199,-0.000555496
2.4,0.049218246,0.083131235,-0.481644681,-0.000494653
2.42,0.039411953,0.073473608,-0.484117946,-0.000433497
2.44,0.029580767,0.063769575,-0.486285431,-0.000372067
2.46,0.019730898,0.054025263,-0.488145769,-0.000310403
2.48,0.009868565,0.044246827,-0.489697783,-0.000248542
2.5,-8.23875E-16,0.034440444,-0.490940493,-0.000186524
2.52,-0.009868565,0.024612308,-0.491873115,-0.000124389
2.54,-0.019730898,0.014768626,-0.492495059,-6.21748E-05
2.56,-0.029580767,0.004915617,-0.492805933,7.85915E-08
2.58,-0.039411953,-0.004940498,-0.49280554,6.23319E-05
2.6,-0.049218246,-0.014793492,-0.492493881,0.000124546
2.62,-0.058993451,-0.024637143,-0.491871151,0.000186681
2.64,-0.068731395,-0.034465232,-0.490937746,0.000248698
2.66,-0.078425926,-0.044271552,-0.489694254,0.000310559
2.68,-0.088070922,-0.054049909,-0.48814146,0.000372223
2.7,-0.09766029,-0.063794127,-0.486280345,0.000433652
2.72,-0.107187974,-0.073498051,-0.484112086,0.000494807
2.74,-0.116647956,-0.083155553,-0.481638051,0.00055565
2.76,-0.126034261,-0.092760531,-0.478859803,0.000616141
2.78,-0.135340959,-0.10230692,-0.475779097,0.000676244
2.8,-0.144562174,-0.11178869,-0.472397879,0.000735919
2.82,-0.15369208,-0.121199852,-0.468718284,0.000795129
2.84,-0.16272491,-0.130534461,-0.464742636,0.000853838
2.86,-0.17165496,-0.139786622,-0.460473447,0.000912007
2.88,-0.180476589,-0.14895049,-0.455913414,0.0009696
2.9,-0.189184225,-0.158020278,-0.451065415,0.00102658
2.92,-0.197772369,-0.166990258,-0.445932514,0.001082912
2.94,-0.206235595,-0.175854762,-0.440517953,0.00113856
2.96,-0.214568558,-0.184608193,-0.434825151,0.001193489
2.98,-0.222765995,-0.193245022,-0.428857703,0.001247665
3,-0.230822729,-0.201759793,-0.422619381,0.001301052
3.02,-0.23873367,-0.210147128,-0.416114123,0.001353617
3.04,-0.246493821,-0.218401729,-0.409346038,0.001405327
3.06,-0.254098282,-0.226518384,-0.402319401,0.00145615
3.08,-0.261542249,-0.234491964,-0.395038651,0.001506053
3.1,-0.26882102,-0.242317435,-0.387508386,0.001555005
3.12,-0.275929998,-0.249989852,-0.379733363,0.001602974
3.14,-0.282864693,-0.257504371,-0.371718491,0.001649931
3.16,-0.289620724,-0.264856244,-0.363468835,0.001695846
3.18,-0.296193825,-0.272040828,-0.354989603,0.00174069
3.2,-0.302579843,-0.279053586,-0.346286153,0.001784434
3.22,-0.308774745,-0.285890087,-0.337363981,0.001827052
3.24,-0.314774619,-0.292546014,-0.328228722,0.001868515
3.26,-0.320575674,-0.299017163,-0.318886147,0.001908798
