alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
-5,0,-0.228987,0.003598,0.06772,0.071318,0,0,0.183029,0,0,15.24,0.0607
-4.5,0,-0.143811,0.001922,0.061463,0.063385,0,0,0.09459,0,0,15.24,0.0439
-4,0,-0.126058,0.001515,0.058051,0.059567,0,0,0.077147,0,0,15.24,-0.0121
-2,0,0.122837,0.001676,0.045425,0.047101,0,0,-0.167312,0,0,15.24,0.0354
-1.5,0,0.173489,0.00241,0.043803,0.046212,0,0,-0.210678,0,0,15.24,0.0447
-1,0,0.21752,0.003296,0.042247,0.045543,0,0,-0.246358,0,0,15.24,0.0416
-0.5,0,0.255721,0.004247,0.042418,0.046665,0,0,-0.2775,0,0,15.24,0.0396
0,0,0.294748,0.005499,0.04352,0.049019,0,0,-0.309177,0,0,15.24,0.0381
0.5,0,0.33179,0.006883,0.045109,0.051991,0,0,-0.33918,0,0,15.24,0.0369
1,0,0.366489,0.008317,0.047023,0.05534,0,0,-0.367349,0,0,15.24,0.0361
1.5,0,0.399527,0.009804,0.049186,0.05899,0,0,-0.394199,0,0,15.24,0.0355
2,0,0.430171,0.011285,0.051552,0.062836,0,0,-0.41901,0,0,15.24,0.0349
2.5,0,0.464218,0.013106,0.053997,0.067103,0,0,-0.446624,0,0,15.24,0.0345
3,0,0.508036,0.015596,0.056418,0.072014,0,0,-0.482847,0,0,15.24,0.034
3.5,0,0.552986,0.018467,0.05894,0.077407,0,0,-0.519891,0,0,15.24,0.0336
4,0,0.594076,0.021426,0.061554,0.08298,0,0,-0.55293,0,0,15.24,0.0332
4.5,0,0.631828,0.024305,0.064307,0.088612,0,0,-0.582903,0,0,15.24,0.0329
5,0,0.666168,0.02699,0.067168,0.094158,0,0,-0.610196,0,0,15.24,0.0326
5.5,0,0.700642,0.029734,0.070047,0.099781,0,0,-0.637809,0,0,15.24,0.0323
6,0,0.738756,0.032861,0.07285,0.105711,0,0,-0.668721,0,0,15.24,0.0321
6.5,0,0.780725,0.036501,0.075268,0.111769,0,0,-0.702179,0,0,15.24,0.0319
7,0,0.825807,0.040515,0.077334,0.117849,0,0,-0.738147,0,0,15.24,0.0317
7.5,0,0.866539,0.04413,0.079488,0.123618,0,0,-0.770856,0,0,15.24,0.0315
8,0,0.904388,0.048007,0.081616,0.129622,0,0,-0.799548,0,0,15.24,0.0312
8.5,0,0.946858,0.052484,0.082915,0.135399,0,0,-0.831298,0,0,15.24,0.031
9,0,0.994301,0.057854,0.083413,0.141266,0,0,-0.866243,0,0,15.24,0.0307
9.5,0,1.029492,0.062525,0.085003,0.147528,0,0,-0.890029,0,0,15.24,0.0305
10,0,1.069918,0.068174,0.086194,0.154369,0,0,-0.917565,0,0,15.24,0.0302
10.5,0,1.105069,0.073677,0.088554,0.162231,0,0,-0.94157,0,0,15.24,0.03
11,0,1.147628,0.080246,0.090747,0.170994,0,0,-0.971673,0,0,15.24,0.0298
11.5,0,1.169565,0.085143,0.096359,0.181502,0,0,-0.986962,0,0,15.24,0.0296
12,0,1.199936,0.090583,0.098335,0.188918,0,0,-1.006751,0,0,15.24,0.0294
12.5,0,1.22631,0.09526,0.102089,0.197349,0,0,-1.024206,0,0,15.24,0.0293
