,Intensity (W/m^2),,,,,,,,,,,
Wavelength (nm),Incandescent,Blacklight,CFL,LED,Argon,Helium,Hydrogen,Mercury (Safety Glasses),Mercury (Sunglasses),Mercury (Unshielded),Neon,Oxygen
745.05,33893.96,58771.04,117.15,1074.22,77.16,-34.03,-21.94,155.66,54.77,105.36,3960.35,41.64
754.244,33467.73,59687.97,543.38,746.49,2478.71,-82.38,135.66,834.39,371.75,907.67,659.79,-30
763.407,29800.03,55626.28,2869.72,522.63,55722.99,73.43,13.88,41322.32,22859.68,50507.53,-56.56,0.45
772.537,27176.41,50678.11,1291.96,305.94,29667.66,1.79,-32.68,14604.37,7954.29,18499.36,-60.14,12.98
781.634,24739.04,46956.69,88.5,307.73,145.21,103.87,112.38,89.39,54.77,-16.42,7.91,107.9
790.699,22387.63,42379.23,-20.74,123.27,14.48,-51.94,-93.57,14.18,-43.73,-34.32,-61.93,-99.84
799.732,19955.63,36836.5,217.44,135.81,2185.01,-7.16,-23.73,1908.92,1138.25,2621.53,38.35,-13.88
808.731,18302.66,33578.91,84.92,177,363.7,8.95,30,232.66,97.75,223.56,84.92,2.24
817.698,15904.69,28598.51,18.65,-7.46,132.67,-17.91,-55.96,62.53,-9.7,-68.35,27.61,-76.56
826.631,14172.92,24348.78,613.22,21.19,13417.33,-28.65,-39.85,6828.43,3631.13,8413.2,6.12,-46.11
835.531,12720.53,20969.42,20.45,33.73,155.95,44.77,105.21,125.21,11.79,15.82,-1.04,93.57
844.397,11269.93,17989.41,996.47,62.38,6336.24,-39.4,-34.47,2195.45,1276.14,2625.11,63.43,1304.2
853.23,9996.62,15199.24,339.22,49.85,5259.93,-44.77,-34.47,1574.02,1000.35,1894.44,144.02,-8.51
862.029,8900.61,13202.42,32.98,98.2,12.69,-48.35,-55.96,89.39,99.54,-2.09,133.27,-38.95
870.794,7817.14,11309.48,-18.95,64.17,107.6,-17.91,28.21,10.6,8.21,-23.58,83.13,16.57
879.525,6411.31,9749.63,-49.4,48.05,53.88,-12.54,-41.64,39.25,-43.73,-11.04,90.29,14.77
888.222,5535.57,8861.36,-137.15,-104.17,-76.86,-75.22,-20.15,-147,-102.83,-45.07,-113.87,-96.26
896.884,6045.97,9789.03,15.07,15.82,96.86,7.16,24.62,-1.94,85.22,40.89,-40.44,18.36
905.512,5811.36,9001.05,6.12,37.31,-8.81,-17.91,-11.19,-62.83,-38.35,-64.77,41.94,75.66
914.105,3959.61,6201.92,342.8,-50.44,3979.46,-168.34,-59.55,1384.19,747.84,1640.14,-121.03,-47.91
922.663,3142.97,5256.34,147.6,37.31,2915.68,66.26,10.3,1357.33,864.24,1615.06,108.2,79.25
931.187,2555.57,3986.62,-22.54,-2.09,-35.67,-82.38,-45.22,-10.89,65.52,-98.8,2.54,-87.3
939.675,1724.61,2840.46,18.65,-34.32,-5.22,-85.96,-73.87,-21.64,-15.07,-98.8,-22.54,-112.38
948.128,1278.68,1885.93,-2.84,62.38,25.22,-64.47,-18.36,28.5,35.07,-7.46,45.52,59.55
956.545,1096.01,1839.37,-185.5,-113.12,-134.17,-3.58,-102.53,-125.51,-147.6,-95.21,-174.76,-99.84
964.927,1173.02,1941.45,-44.03,69.55,175.65,-66.26,-54.17,148.49,101.33,230.72,0.75,43.43
973.273,1092.43,1765.94,-47.61,31.94,3.73,48.35,-70.29,1.64,-20.45,-3.88,-20.74,-21.04
981.584,870.36,1499.11,-52.98,-2.09,61.04,-89.54,6.72,-5.52,-34.77,-48.65,-18.95,-21.04
989.858,678.74,1137.35,-104.91,-100.59,-105.51,-89.54,-158.04,-145.21,-111.78,-88.05,-162.22,-144.61
998.096,601.73,1083.62,-33.28,-46.86,7.31,7.16,-48.8,53.58,22.54,64.17,-67.31,48.8
1006.298,408.32,759.48,-79.84,-27.16,-78.65,-118.2,-82.83,-30.59,-68.8,-57.61,-83.42,-4.92
1014.463,397.57,619.79,-44.03,-34.32,-8.81,-57.31,4.92,-5.52,-31.19,-127.45,-69.1,-67.61
1022.592,313.4,403.09,-52.98,69.55,0.15,-64.47,65.81,19.55,-49.1,-43.28,-176.55,-24.62
1030.684,223.86,306.39,-85.22,-50.44,-48.2,-46.56,-45.22,-62.83,11.79,-45.07,-58.35,-64.02
1038.739,137.9,274.15,-74.47,-54.02,-60.74,-50.14,-72.08,12.39,-36.56,-57.61,-44.03,-51.49
1046.757,87.75,123.72,-65.52,-46.86,-112.68,-111.03,-73.87,-7.31,-54.47,-73.72,-52.98,-58.65
1054.738,166.55,129.09,43.73,6.86,34.18,5.37,22.83,24.92,54.77,14.03,7.91,-47.91
