Frequency [Hz], FFT Amplitude [Vrms]
0,8.364
7.812,5.928
15.625,0.297
23.437,0.295
31.25,0.315
39.062,0.316
46.875,0.281
54.687,0.273
62.5,0.262
70.312,0.247
78.125,0.287
85.937,0.309
93.75,0.922
101.562,1.603
109.375,0.953
117.187,0.315
125,0.21
132.812,0.227
140.625,0.241
148.437,0.218
156.25,0.19
164.062,0.186
171.875,0.175
179.687,0.171
187.5,0.209
195.312,0.199
203.125,0.182
210.937,0.197
218.75,0.186
226.562,0.184
234.375,0.192
242.187,0.177
250,0.173
257.812,0.168
265.625,0.153
273.437,0.137
281.25,0.126
289.062,0.148
296.875,0.177
304.687,0.164
312.5,0.164
320.312,0.142
328.125,0.129
335.937,0.134
343.75,0.131
351.562,0.135
359.375,0.129
367.187,0.126
375,0.129
382.812,0.138
390.625,0.128
398.437,0.131
406.25,0.123
414.062,0.13
421.875,0.119
429.687,0.113
437.5,0.116
445.312,0.107
453.125,0.098
460.937,0.096
468.75,0.1
476.562,0.088
484.375,0.086
492.187,0.096
500,0.103
507.812,0.103
515.625,0.101
523.437,0.095
531.25,0.094
539.062,0.09
546.875,0.096
554.687,0.103
562.5,0.089
570.312,0.087
578.125,0.093
585.937,0.089
593.75,0.089
601.562,0.094
609.375,0.1
617.187,0.099
625,0.084
632.812,0.08
640.625,0.085
648.437,0.082
656.25,0.078
664.062,0.074
671.875,0.074
679.687,0.074
687.5,0.068
695.312,0.076
703.125,0.081
710.937,0.078
718.75,0.077
726.562,0.071
734.375,0.062
742.187,0.07
750,0.065
757.812,0.072
765.625,0.071
773.437,0.069
781.25,0.067
789.062,0.066
796.875,0.062
804.687,0.067
812.5,0.069
820.312,0.071
828.125,0.074
835.937,0.067
843.75,0.065
851.562,0.064
859.375,0.06
867.187,0.063
875,0.065
882.812,0.065
890.625,0.064
898.437,0.061
906.25,0.059
914.062,0.065
921.875,0.068
929.687,0.066
937.5,0.064
945.312,0.053
953.125,0.054
960.937,0.061
968.75,0.063
976.562,0.062
984.375,0.055
992.187,0.051
1000,0.051
1007.812,0.058
1015.625,0.057
1023.437,0.058
1031.25,0.061
1039.062,0.056
1046.875,0.051
1054.687,0.059
1062.5,0.06
1070.312,0.061
1078.125,0.055
1085.937,0.053
1093.75,0.054
1101.562,0.054
1109.375,0.051
1117.187,0.055
1125,0.052
1132.812,0.052
1140.625,0.051
1148.437,0.049
1156.25,0.05
1164.062,0.052
1171.875,0.052
1179.687,0.054
1187.5,0.048
1195.312,0.048
1203.125,0.049
1210.937,0.053
1218.75,0.046
1226.562,0.045
1234.375,0.046
1242.187,0.043
1250,0.044
1257.812,0.048
1265.625,0.044
1273.437,0.045
1281.25,0.05
1289.062,0.052
1296.875,0.042
1304.687,0.037
1312.5,0.044
1320.312,0.048
1328.125,0.048
1335.937,0.043
1343.75,0.041
1351.562,0.042
1359.375,0.045
1367.187,0.043
1375,0.044
1382.812,0.045
1390.625,0.044
1398.437,0.042
1406.25,0.038
1414.062,0.039
1421.875,0.041
1429.687,0.046
1437.5,0.046
1445.312,0.04
1453.125,0.037
1460.937,0.035
1468.75,0.036
1476.562,0.038
1484.375,0.036
1492.187,0.037
1500,0.038
1507.812,0.041
1515.625,0.038
1523.437,0.035
1531.25,0.036
1539.062,0.042
1546.875,0.041
1554.687,0.04
1562.5,0.038
1570.312,0.039
1578.125,0.04
1585.937,0.039
1593.75,0.038
1601.562,0.035
1609.375,0.038
1617.187,0.038
1625,0.034
1632.812,0.033
1640.625,0.036
1648.437,0.033
1656.25,0.033
1664.062,0.033
1671.875,0.034
1679.687,0.032
1687.5,0.034
1695.312,0.034
1703.125,0.036
1710.937,0.036
1718.75,0.033
1726.562,0.031
1734.375,0.03
1742.187,0.034
1750,0.032
1757.812,0.032
1765.625,0.031
1773.437,0.032
1781.25,0.032
1789.062,0.032
1796.875,0.034
1804.687,0.037
1812.5,0.032
1820.312,0.03
1828.125,0.031
1835.937,0.03
1843.75,0.027
1851.562,0.029
1859.375,0.031
1867.187,0.029
1875,0.033
1882.812,0.033
1890.625,0.034
1898.437,0.034
1906.25,0.033
1914.062,0.032
1921.875,0.029
1929.687,0.029
1937.5,0.028
1945.312,0.03
1953.125,0.035
1960.937,0.035
1968.75,0.03
1976.562,0.033
1984.375,0.034
1992.187,0.029
2000,0.028
2007.812,0.031
2015.625,0.03
2023.437,0.03
2031.25,0.032
2039.062,0.03
