Frequency [Hz], FFT Amplitude [Vrms]
0,12.334
7.812,8.726
15.625,0.379
23.437,0.383
31.25,0.387
39.062,0.372
46.875,0.339
54.687,0.384
62.5,0.398
70.312,0.37
78.125,0.372
85.937,0.369
93.75,0.369
101.562,0.313
109.375,0.271
117.187,0.341
125,0.421
132.812,0.544
140.625,1.424
148.437,2.278
156.25,1.314
164.062,0.528
171.875,0.397
179.687,0.31
187.5,0.299
195.312,0.296
203.125,0.261
210.937,0.276
218.75,0.279
226.562,0.266
234.375,0.272
242.187,0.282
250,0.264
257.812,0.251
265.625,0.225
273.437,0.257
281.25,0.264
289.062,0.252
296.875,0.244
304.687,0.247
312.5,0.261
320.312,0.244
328.125,0.25
335.937,0.24
343.75,0.21
351.562,0.21
359.375,0.208
367.187,0.194
375,0.206
382.812,0.201
390.625,0.204
398.437,0.195
406.25,0.194
414.062,0.196
421.875,0.188
429.687,0.221
437.5,0.257
445.312,0.237
453.125,0.233
460.937,0.219
468.75,0.168
476.562,0.168
484.375,0.148
492.187,0.155
500,0.159
507.812,0.168
515.625,0.177
523.437,0.174
531.25,0.144
539.062,0.147
546.875,0.157
554.687,0.169
562.5,0.172
570.312,0.174
578.125,0.161
585.937,0.154
593.75,0.134
601.562,0.15
609.375,0.126
617.187,0.136
625,0.153
632.812,0.137
640.625,0.128
648.437,0.148
656.25,0.149
664.062,0.149
671.875,0.13
679.687,0.136
687.5,0.134
695.312,0.143
703.125,0.138
710.937,0.132
718.75,0.131
726.562,0.14
734.375,0.142
742.187,0.138
750,0.134
757.812,0.124
765.625,0.121
773.437,0.116
781.25,0.12
789.062,0.124
796.875,0.105
804.687,0.114
812.5,0.111
820.312,0.104
828.125,0.107
835.937,0.124
843.75,0.125
851.562,0.123
859.375,0.111
867.187,0.106
875,0.105
882.812,0.099
890.625,0.109
898.437,0.118
906.25,0.111
914.062,0.102
921.875,0.1
929.687,0.094
937.5,0.102
945.312,0.098
953.125,0.101
960.937,0.115
968.75,0.099
976.562,0.094
984.375,0.098
992.187,0.1
1000,0.1
1007.812,0.093
1015.625,0.094
1023.437,0.089
1031.25,0.088
1039.062,0.095
1046.875,0.1
1054.687,0.101
1062.5,0.092
1070.312,0.087
1078.125,0.092
1085.937,0.088
1093.75,0.09
1101.562,0.089
1109.375,0.084
1117.187,0.087
1125,0.092
1132.812,0.092
1140.625,0.093
1148.437,0.087
1156.25,0.08
1164.062,0.088
1171.875,0.088
1179.687,0.089
1187.5,0.087
1195.312,0.079
1203.125,0.088
1210.937,0.084
1218.75,0.088
1226.562,0.079
1234.375,0.078
1242.187,0.081
1250,0.086
1257.812,0.087
1265.625,0.087
1273.437,0.082
1281.25,0.081
1289.062,0.08
1296.875,0.086
1304.687,0.066
1312.5,0.071
1320.312,0.077
1328.125,0.078
1335.937,0.073
1343.75,0.07
1351.562,0.069
1359.375,0.078
1367.187,0.086
1375,0.082
1382.812,0.081
1390.625,0.084
1398.437,0.079
1406.25,0.074
1414.062,0.074
1421.875,0.081
1429.687,0.071
1437.5,0.066
1445.312,0.078
1453.125,0.07
1460.937,0.058
1468.75,0.071
1476.562,0.074
1484.375,0.076
1492.187,0.076
1500,0.07
1507.812,0.071
1515.625,0.068
1523.437,0.066
1531.25,0.07
1539.062,0.071
1546.875,0.059
1554.687,0.064
1562.5,0.067
1570.312,0.063
1578.125,0.067
1585.937,0.067
1593.75,0.063
1601.562,0.064
1609.375,0.063
1617.187,0.062
1625,0.061
1632.812,0.063
1640.625,0.062
1648.437,0.06
1656.25,0.066
1664.062,0.058
1671.875,0.063
1679.687,0.068
1687.5,0.064
1695.312,0.074
1703.125,0.07
1710.937,0.061
1718.75,0.063
1726.562,0.064
1734.375,0.061
1742.187,0.055
1750,0.06
1757.812,0.066
1765.625,0.071
1773.437,0.057
1781.25,0.056
1789.062,0.055
1796.875,0.058
1804.687,0.069
1812.5,0.067
1820.312,0.063
1828.125,0.06
1835.937,0.061
1843.75,0.059
1851.562,0.061
1859.375,0.059
1867.187,0.062
1875,0.064
1882.812,0.062
1890.625,0.058
1898.437,0.063
1906.25,0.061
1914.062,0.057
1921.875,0.059
1929.687,0.056
1937.5,0.052
1945.312,0.056
1953.125,0.062
1960.937,0.061
1968.75,0.058
1976.562,0.053
1984.375,0.057
1992.187,0.063
2000,0.059
2007.812,0.058
2015.625,0.067
2023.437,0.065
2031.25,0.059
2039.062,0.05
2046.875,0.053
2054.687,0.057
2062.5,0.057
2070.312,0.06
2078.125,0.057
2085.937,0.053
2093.75,0.057
2101.562,0.06
2109.375,0.058
2117.187,0.052
2125,0.05
2132.812,0.057
2140.625,0.056
2148.437,0.059
2156.25,0.055
2164.062,0.054
2171.875,0.053
2179.687,0.054
2187.5,0.051
2195.312,0.05
2203.125,0.047
2210.937,0.051
2218.75,0.053
2226.562,0.055
2234.375,0.054
2242.187,0.05
2250,0.043
2257.812,0.049
2265.625,0.054
2273.437,0.058
2281.25,0.055
2289.062,0.054
2296.875,0.048
2304.687,0.047
2312.5,0.048
2320.312,0.047
2328.125,0.052
2335.937,0.05
2343.75,0.046
2351.562,0.046
2359.375,0.043
2367.187,0.044
2375,0.048
2382.812,0.05
2390.625,0.047
2398.437,0.047
2406.25,0.049
2414.062,0.045
2421.875,0.05
2429.687,0.051
2437.5,0.046
2445.312,0.046
2453.125,0.047
2460.937,0.047
2468.75,0.049
2476.562,0.048
2484.375,0.048
2492.187,0.047
2500,0.048
2507.812,0.048
2515.625,0.048
2523.437,0.051
2531.25,0.05
2539.062,0.045
2546.875,0.043
2554.687,0.043
2562.5,0.048
2570.312,0.049
2578.125,0.046
2585.937,0.048
2593.75,0.052
2601.562,0.047
2609.375,0.049
2617.187,0.044
2625,0.042
2632.812,0.041
2640.625,0.039
2648.437,0.043
2656.25,0.046
2664.062,0.05
2671.875,0.05
2679.687,0.047
2687.5,0.044
2695.312,0.044
2703.125,0.05
2710.937,0.048
