,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
R,3504.31926,3502.709445,3501.579659,3500.868755,3500.454003,3500.226197,3500.10753,3500.048719,3500.02098,3497.127915,3499.875178,3500.621777,3500.649712,3500.483576,3500.311453,3500.183807,3500.101839,3500.053618,3483.068648,3493.10207,3497.480826,3499.25924,3499.905436,3500.093109,3500.115033,3500.089453,3500.058883,3469.778325,3486.186104,3493.972023,3497.522767,3499.068813,3499.702392,3499.939482,3500.014545,3500.029261,3463.683688,3482.692649,3492.019714,3496.453824,3498.494322,3499.399284,3499.78262,3499.935038,3499.989855,3466.571784,3483.802869,3492.362898,3496.498939,3498.444584,3499.334393,3499.72845,3499.896138,3499.963696,3475.798263,3488.236132,3494.410685,3497.40042,3498.814418,3499.467183,3499.760359,3499.887448,3499.939617
BFL,5242.799795,5626.405929,6051.296494,6523.357108,7049.560362,7638.14595,8298.895572,9043.503732,9886.063241,5506.768518,5910.163159,6358.474267,6856.884559,7412.107521,8032.355861,8727.494252,9509.33628,10392.07837,5970.093476,6413.151075,6909.718129,7464.262574,8083.602826,8776.606102,9554.205923,10429.64812,11418.93008,6672.56456,7182.591486,7759.560662,8407.796863,9135.004762,9951.730014,10871.28592,11910.01149,13087.80466,7711.464509,8333.260512,9041.48906,9841.928287,10744.86963,11764.50227,12918.89222,14230.40815,15726.54005,9289.973913,10102.52933,11031.78932,12088.23728,13288.26417,14653.79883,16212.65764,17999.50524,20057.42671,11846.34,13002.75379,14330.91898,15852.86935,17599.11983,19609.21016,21933.22149,24634.30984,27792.4623
F_l,1800,2000,2200,2400,2600,2800,3000,3200,3400,1800,2000,2200,2400,2600,2800,3000,3200,3400,1800,2000,2200,2400,2600,2800,3000,3200,3400,1800,2000,2200,2400,2600,2800,3000,3200,3400,1800,2000,2200,2400,2600,2800,3000,3200,3400,1800,2000,2200,2400,2600,2800,3000,3200,3400,1800,2000,2200,2400,2600,2800,3000,3200,3400
AR,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
FN,151431.72,147843.6435,144387.2111,141051.6308,137826.6198,134703.4726,131675.0518,128735.4864,125879.8613,151668.0677,148150.7192,144718.1279,141387.4187,138160.6823,135034.3586,132003.2453,129062.0645,126205.9805,150439.1069,147070.4018,143710.7582,140416.7749,137210.0715,134096.4691,131075.1383,128142.7713,125295.3847,148104.6434,144879.4915,141601.0757,138356.0115,135181.8209,132092.5365,129091.4959,126177.4845,123347.5695,144834.5436,141685.6948,138463.5451,135262.3083,132124.4136,129066.8946,126094.8892,123208.2644,120404.7502,140577.2363,137429.3574,134232.7618,131066.8494,127967.3936,124948.6701,122014.8415,119165.5698,116398.6819,135075.1394,131891.0641,128708.6619,125579.7252,122526.7023,119557.7635,116674.47,113875.5173,111158.4913
W_fuel,128770.9074,131896.1001,135053.5123,138247.2495,141482.1029,144762.415,148091.8346,151473.3859,154909.6082,128570.2409,131622.7158,134744.6949,137918.9194,141140.0094,144407.6915,147723.6408,151090.0982,154509.3182,129620.5515,132589.5609,135689.2152,138872.2965,142117.8474,145417.6992,148769.6313,152174.015,155632.229,131663.6639,134594.6193,137710.8182,140940.7498,144250.1652,147623.7834,151055.6514,154544.2127,158089.86,134636.3893,137628.573,140831.2923,144164.3296,147588.1668,151084.4439,154645.4431,158268.604,161953.7432,138713.7812,141891.0804,145270.0499,148779.0397,152382.5676,156064.0861,159816.6236,163637.8699,167527.6702,144364.0931,147849.2886,151504.9548,155279.843,159148.9824,163101.0771,167131.6784,171239.6173,175425.1949
W_empty,436073.293,440782.5809,445536.0748,450331.2014,455165.0998,460035.1459,464939.0984,469875.089,474841.5611,460588.8062,465597.739,470638.8372,475717.0687,480833.4221,485987.1504,491176.8702,496401.0641,501658.2875,489453.3452,494831.6887,500228.7178,505656.9987,511121.753,516624.522,522165.1236,527742.6504,533355.9542,523733.1452,529542.6094,535365.7758,541218.7583,547108.9764,553039.2691,559010.1998,565021.2814,571071.5984,564810.7062,571125.9394,577461.6965,583832.6475,590245.6542,596703.3778,603206.3611,609754.1542,616345.8923,614576.6385,621510.3318,628480.6257,635497.3576,642564.8734,649684.5807,656856.4324,664079.7254,671353.503,675764.2293,683492.252,691277.4536,699124.0145,707033.273,715005.1211,723038.7927,731133.2699,739287.474
MRW,577303.1133,585080.7853,592950.541,600912.7661,608965.5551,617106.9166,625335.4829,633650.5834,642052.0979,601353.543,609515.7607,617707.4696,625961.5902,634292.9319,642707.6923,651208.2689,659795.5586,668469.9727,630746.8535,639459.9372,648120.2688,656799.9035,665535.7607,674346.0897,683239.6444,692220.5547,701290.8015,666559.9244,675906.007,685139.4175,694359.7529,703620.7634,712950.5,722363.2393,731866.1363,741462.78,710350.0964,720373.945,730271.882,740150.9108,750070.3295,760061.8906,770142.1994,780319.8206,790599.1661,764265.5756,775044.7756,785733.6921,796427.5732,807179.7215,818018.9875,828960.6566,840012.7393,851179.4355,831430.0761,843144.6035,854840.463,866588.5253,878428.3457,890381.3688,902459.0278,914667.3806,927009.6424
