time (s), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), imu_pitch (rad), imu_roll (rad), imu_yaw (rad), counter, x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), angle_pitch_desired (rad), mu1, mu2
0.0000, 0.2836, -3.4393, -0.2169, 0.0833, -0.0105, 0.9050, 493781, 0.0443, -0.3127, -0.1034, -0.0339, -0.0980, 0.1108, -0.2180, 135, 184
0.0160, 0.9297, -6.2174, 0.0242, -0.0101, -0.0096, 0.9044, 493801, 0.0444, -0.3127, -0.1034, -0.0339, -0.0981, 0.1108, -0.2315, 187, 130
0.0470, -0.5870, -6.8206, -0.1470, -0.2845, -0.0086, 0.9043, 493841, 0.0443, -0.3126, -0.1034, -0.0338, -0.0981, 0.1108, -0.2572, 200, 1
0.0630, -0.5870, -6.8206, -0.1470, -0.2845, -0.0086, 0.9043, 493841, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1108, -0.2572, 200, 1
0.0780, 0.5271, -3.2490, -0.0796, -0.4946, -0.0089, 0.9048, 493881, 0.0443, -0.3126, -0.1034, -0.0338, -0.0982, 0.1108, -0.2812, 200, 1
0.0940, 0.5271, -3.2490, -0.0796, -0.4946, -0.0089, 0.9048, 493881, 0.0444, -0.3127, -0.1035, -0.0339, -0.0980, 0.1108, -0.2812, 200, 1
0.1250, -0.5085, -0.0508, -0.0180, -0.5257, -0.0096, 0.9043, 493901, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1108, -0.2924, 200, 94
0.1410, -0.5287, 5.7215, 0.0110, -0.4119, -0.0112, 0.9050, 493941, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1108, -0.3133, 55, 200
0.1560, -0.5287, 5.7215, 0.0110, -0.4119, -0.0112, 0.9050, 493941, 0.0443, -0.3127, -0.1034, -0.0338, -0.0981, 0.1108, -0.3133, 55, 200
0.1880, 0.1650, 5.9651, -0.2145, -0.2971, -0.0108, 0.9057, 493961, 0.0443, -0.3127, -0.1034, -0.0338, -0.0982, 0.1108, -0.3229, 1, 200
0.2030, -0.3311, 3.3772, -0.0314, -0.1101, -0.0124, 0.9063, 494001, 0.0444, -0.3127, -0.1034, -0.0339, -0.0979, 0.1109, -0.3405, 1, 200
0.2190, -0.3311, 3.3772, -0.0314, -0.1101, -0.0124, 0.9063, 494001, 0.0444, -0.3127, -0.1034, -0.0339, -0.0981, 0.1108, -0.3405, 1, 200
0.2340, -0.2314, -2.2314, -0.2543, -0.1059, -0.0119, 0.9067, 494041, 0.0444, -0.3127, -0.1034, -0.0338, -0.0980, 0.1108, -0.3557, 143, 178
0.2660, -0.0341, -5.9290, -0.0347, -0.1925, -0.0106, 0.9060, 494061, 0.0443, -0.3127, -0.1034, -0.0338, -0.0980, 0.1108, -0.3623, 195, 123
0.2810, -0.0341, -5.9290, -0.0347, -0.1925, -0.0106, 0.9060, 494061, 0.0443, -0.3127, -0.1034, -0.0337, -0.0983, 0.1108, -0.3623, 195, 123
0.2970, 0.1970, -5.9925, 0.0223, -0.4494, -0.0110, 0.9048, 494101, 0.0444, -0.3127, -0.1034, -0.0338, -0.0979, 0.1108, -0.3737, 200, 1
0.3280, -0.4005, -4.0215, -0.0013, -0.5609, -0.0093, 0.9046, 494121, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1107, -0.3785, 200, 1
0.3440, -0.4005, -4.0215, -0.0013, -0.5609, -0.0093, 0.9046, 494121, 0.0443, -0.3127, -0.1035, -0.0338, -0.0982, 0.1109, -0.3785, 200, 1
0.3590, -0.1379, 0.5298, 0.0769, -0.6447, -0.0082, 0.9032, 494161, 0.0443, -0.3127, -0.1034, -0.0338, -0.0981, 0.1109, -0.3859, 200, 110
0.3750, -0.1379, 0.5298, 0.0769, -0.6447, -0.0082, 0.9032, 494161, 0.0443, -0.3127, -0.1034, -0.0338, -0.0982, 0.1108, -0.3859, 200, 110
0.4060, -0.6932, 6.3814, 0.2505, -0.4976, -0.0073, 0.9036, 494201, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1109, -0.3906, 49, 200
0.4220, -0.6932, 6.3814, 0.2505, -0.4976, -0.0073, 0.9036, 494201, 0.0443, -0.3127, -0.1034, -0.0339, -0.0982, 0.1107, -0.3906, 49, 200
0.4370, -0.6569, 7.0880, 0.0019, -0.3714, -0.0070, 0.9037, 494221, 0.0443, -0.3127, -0.1034, -0.0338, -0.0981, 0.1109, -0.3920, 1, 200
0.4690, 0.1645, 2.5271, 0.3658, -0.1686, -0.0044, 0.9051, 494261, 0.0443, -0.3126, -0.1034, -0.0338, -0.0982, 0.1108, -0.3926, 1, 200
0.4840, 0.1645, 2.5271, 0.3658, -0.1686, -0.0044, 0.9051, 494261, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1109, -0.3926, 1, 200
0.5000, 0.1658, 0.4765, 0.1188, -0.1321, -0.0038, 0.9050, 494281, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1109, -0.3919, 43, 200
0.5160, 0.1658, 0.4765, 0.1188, -0.1321, -0.0038, 0.9050, 494281, 0.0444, -0.3127, -0.1034, -0.0338, -0.0980, 0.1108, -0.3919, 43, 200
0.5470, 0.2728, -5.4616, 0.2086, -0.2375, -0.0005, 0.9023, 494321, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1108, -0.3884, 200, 90
0.5620, 0.6741, -6.3865, -0.2145, -0.3594, -0.0003, 0.9018, 494341, 0.0444, -0.3127, -0.1033, -0.0338, -0.0980, 0.1108, -0.3856, 200, 1
0.5780, 0.6741, -6.3865, -0.2145, -0.3594, -0.0003, 0.9018, 494341, 0.0443, -0.3127, -0.1035, -0.0338, -0.0981, 0.1108, -0.3856, 200, 1
0.6090, -0.5499, -1.5079, -0.0750, -0.6404, 0.0000, 0.8966, 494401, 0.0443, -0.3127, -0.1034, -0.0338, -0.0981, 0.1109, -0.3732, 200, 15
0.6250, 0.3088, 0.5698, 0.1398, -0.6500, -0.0021, 0.8964, 494421, 0.0443, -0.3127, -0.1034, -0.0338, -0.0980, 0.1108, -0.3678, 200, 114
0.6410, 0.3088, 0.5698, 0.1398, -0.6500, -0.0021, 0.8964, 494421, 0.0443, -0.3127, -0.1034, -0.0338, -0.0982, 0.1107, -0.3678, 200, 114
0.6560, -0.1344, 6.6878, 0.1269, -0.4992, -0.0031, 0.8978, 494461, 0.0443, -0.3127, -0.1034, -0.0338, -0.0981, 0.1108, -0.3550, 89, 200
0.6870, 0.5927, 5.1351, 0.3083, -0.3817, -0.0047, 0.8992, 494481, 0.0443, -0.3127, -0.1035, -0.0339, -0.0981, 0.1108, -0.3476, 36, 200
0.7030, 0.5927, 5.1351, 0.3083, -0.3817, -0.0047, 0.8992, 494481, 0.0443, -0.3126, -0.1034, -0.0338, -0.0983, 0.1107, -0.3476, 36, 200
0.7190, 0.1459, 4.9915, 0.1720, -0.2714, -0.0059, 0.9006, 494501, 0.0443, -0.3127, -0.1034, -0.0339, -0.0979, 0.1108, -0.3397, 1, 200
0.7500, 0.1459, 4.9915, 0.1720, -0.2714, -0.0059, 0.9006, 494501, 0.0443, -0.3127, -0.1034, -0.0339, -0.0982, 0.1108, -0.3397, 1, 200
0.7650, -0.2685, 0.9668, -0.2508, -0.1529, -0.0056, 0.9013, 494541, 0.0444, -0.3127, -0.1034, -0.0339, -0.0980, 0.1109, -0.3220, 81, 200
0.7810, -0.4669, -4.3801, -0.2481, -0.2482, -0.0040, 0.9001, 494581, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1108, -0.3021, 200, 50
0.7970, -0.4669, -4.3801, -0.2481, -0.2482, -0.0040, 0.9001, 494581, 0.0443, -0.3127, -0.1034, -0.0339, -0.0982, 0.1107, -0.3021, 200, 50
0.8280, -0.5897, -4.0016, -0.1890, -0.3471, -0.0031, 0.8987, 494601, 0.0443, -0.3127, -0.1034, -0.0339, -0.0980, 0.1108, -0.2913, 200, 21
0.8440, 0.6480, -2.4499, 0.1204, -0.4974, -0.0003, 0.8962, 494641, 0.0444, -0.3127, -0.1034, -0.0338, -0.0981, 0.1108, -0.2682, 200, 1
0.8590, 0.6480, -2.4499, 0.1204, -0.4974, -0.0003, 0.8962, 494641, 0.0443, -0.3127, -0.1034, -0.0339, -0.0982, 0.1109, -0.2682, 200, 1
0.8750, -0.2946, 0.8198, -0.0159, -0.5105, -0.0010, 0.8954, 494661, 0.0443, -0.3127, -0.1035, -0.0339, -0.0980, 0.1109, -0.2560, 200, 113
0.9060, -0.6969, 6.4282, 0.1793, -0.3669, -0.0052, 0.8971, 494701, 0.0443, -0.3127, -0.1034, -0.0339, -0.0982, 0.1107, -0.2302, 43, 200
0.9220, -0.6969, 6.4282, 0.1793, -0.3669, -0.0052, 0.8971, 494701, 0.0443, -0.3127, -0.1034, -0.0338, -0.0980, 0.1109, -0.2302, 43, 200
0.9370, -0.4513, 5.6250, 0.0559, -0.1337, -0.0066, 0.8985, 494741, 0.0443, -0.3127, -0.1034, -0.0338, -0.0982, 0.1106, -0.2027, 1, 200
0.9690, 0.0597, 3.0504, 0.2884, -0.0511, -0.0059, 0.8994, 494761, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1109, -0.1885, 1, 200
0.9840, 0.0597, 3.0504, 0.2884, -0.0511, -0.0059, 0.8994, 494761, 0.0443, -0.3127, -0.1034, -0.0338, -0.0981, 0.1108, -0.1885, 1, 200
1.0000, -0.1812, -1.4477, -0.2000, -0.0232, -0.0049, 0.8981, 494801, 0.0443, -0.3127, -0.1034, -0.0338, -0.0981, 0.1108, -0.1590, 148, 173
