Position (mm), F_D hotwire [N], C_D hotwire, Re hotwire, F_D pitot [N], C_D pitot, Re pitot
66.7, 1.2505370892138747, 0.6494942623978178, 29050.989036182073, 1.2607885391299984, 0.6375294214280491, 29442.270856543757
104.8, 1.3800332716157506, 0.7094312253362283, 29200.47540182064, 1.2489812376844973, 0.6337672341547322, 29390.93210470829
161.9, 1.4980128010534992, 0.7621465243957091, 29352.075716064195, 1.3669632322039975, 0.6863935494889939, 29545.552345530403
238.1, 1.6333127469907502, 0.8539396092917557, 28954.85470676468, 1.4637429332960008, 0.7392753238246683, 29459.786430699387
