Position (mm), F_D hotwire [N], C_D hotwire, Re hotwire, F_D pitot [N], C_D pitot, Re pitot
104.8, 6.576214461324459, 3.4139195612761966, 28828.017790465296, 6.724339476487647, 3.490815910954868, 29039.412650964274
161.9, 6.689298081644503, 3.455132708921124, 28900.898685227796, 6.6440194226183245, 3.4317455352733064, 29158.800415036552
238.1, 6.924868120285781, 3.653981195716494, 28594.07414484642, 6.774689851735831, 3.574738015954085, 29122.561296093867
66.7, 6.183815602564176, 3.2762303586719947, 28536.091554538125, 7.123658412060247, 3.774165896008168, 29117.32675669104
