freq,real,imag,amp,phase,
10,-0.00098797,-0.00015918,0.0010007,-170.85
14,0.00051233,-0.00052293,0.00073208,-45.587
18,0.00058651,0.0010936,0.001241,61.795
22,-7.2822e-05,0.0019488,0.0019502,92.14
26,1.6386e-05,0.0018873,0.0018874,89.503
30,-1.6953e-06,0.00086262,0.00086262,90.113
34,0.00027712,5.4337e-05,0.00028239,11.094
38,0.00024243,0.00036203,0.0004357,56.192
42,-0.00024923,0.00039037,0.00046314,122.56
46,-0.00029181,-0.00011331,0.00031304,-158.78
1566,-0.00051113,-0.0030231,0.003066,-99.597
1570,-0.00074139,-0.0078579,0.0078928,-95.39
1574,0.0012685,-0.010635,0.01071,-83.198
1578,0.0027537,-0.0064769,0.007038,-66.967
1582,0.0019932,-0.00098503,0.0022234,-26.298
1586,-0.00019959,0.0010817,0.0011,100.45
1590,-0.0010029,-0.00054379,0.0011408,-151.53
1594,0.00089,-0.00071119,0.0011393,-38.628
1598,0.00044004,0.00095299,0.0010497,65.215
1602,-0.00067595,3.2072e-05,0.00067671,177.28
