alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
-5,0,-0.058474,0.000585,0.055795,0.05638,0,0,-0.141503,0,0,30.48,-0.0941
-4.5,0,-0.02101,0.000441,0.05343,0.053871,0,0,-0.171729,0,0,30.48,-0.3135
-4,0,0.01646,0.000445,0.051138,0.051583,0,0,-0.202005,0,0,30.48,0.4659
-3.5,0,0.05393,0.000595,0.04904,0.049635,0,0,-0.232303,0,0,30.48,0.1623
-3,0,0.091393,0.000893,0.047144,0.048037,0,0,-0.262603,0,0,30.48,0.1076
-2.5,0,0.128843,0.001338,0.04534,0.046679,0,0,-0.29293,0,0,30.48,0.0847
-2,0,0.166273,0.00193,0.043543,0.045473,0,0,-0.323295,0,0,30.48,0.0721
-1.5,0,0.203675,0.002668,0.042103,0.044771,0,0,-0.353608,0,0,30.48,0.0642
-1,0,0.241044,0.003552,0.040895,0.044448,0,0,-0.383895,0,0,30.48,0.0587
-0.5,0,0.278373,0.004582,0.040013,0.044595,0,0,-0.41416,0,0,30.48,0.0547
0,0,0.315655,0.005756,0.039391,0.045147,0,0,-0.444405,0,0,30.48,0.0517
0.5,0,0.352883,0.007074,0.038981,0.046055,0,0,-0.474638,0,0,30.48,0.0493
1,0,0.390051,0.008535,0.038711,0.047245,0,0,-0.504878,0,0,30.48,0.0473
1.5,0,0.427152,0.010138,0.038618,0.048756,0,0,-0.535106,0,0,30.48,0.0457
2,0,0.46418,0.011881,0.038753,0.050634,0,0,-0.565307,0,0,30.48,0.0444
2.5,0,0.501129,0.013764,0.039128,0.052893,0,0,-0.595482,0,0,30.48,0.0432
3,0,0.537991,0.015785,0.03956,0.055345,0,0,-0.625626,0,0,30.48,0.0423
3.5,0,0.57476,0.017943,0.040073,0.058016,0,0,-0.655727,0,0,30.48,0.0414
4,0,0.61143,0.020236,0.040823,0.061059,0,0,-0.685779,0,0,30.48,0.0407
4.5,0,0.647995,0.022662,0.041631,0.064293,0,0,-0.715783,0,0,30.48,0.04
5,0,0.684449,0.02522,0.04231,0.06753,0,0,-0.745727,0,0,30.48,0.0394
5.5,0,0.720784,0.027908,0.042785,0.070694,0,0,-0.775597,0,0,30.48,0.0389
6,0,0.756995,0.030724,0.043052,0.073776,0,0,-0.805384,0,0,30.48,0.0384
6.5,0,0.793076,0.033665,0.04342,0.077085,0,0,-0.835071,0,0,30.48,0.038
7,0,0.82902,0.03673,0.043657,0.080387,0,0,-0.864653,0,0,30.48,0.0376
7.5,0,0.864822,0.039916,0.043683,0.083599,0,0,-0.894114,0,0,30.48,0.0373
8,0,0.900476,0.043222,0.043424,0.086646,0,0,-0.923437,0,0,30.48,0.037
8.5,0,0.935975,0.046643,0.042873,0.089516,0,0,-0.952607,0,0,30.48,0.0367
9,0,0.971315,0.050179,0.042151,0.092331,0,0,-0.981612,0,0,30.48,0.0364
9.5,0,1.006488,0.053826,0.041303,0.095129,0,0,-1.010441,0,0,30.48,0.0362
10,0,1.041491,0.057582,0.040575,0.098157,0,0,-1.039098,0,0,30.48,0.036
10.5,0,1.076316,0.061443,0.039482,0.100926,0,0,-1.067548,0,0,30.48,0.0358
11,0,1.110959,0.065408,0.03862,0.104027,0,0,-1.095815,0,0,30.48,0.0356
