,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
R,3135.933873,3500.000165,3500.614254,3505.332401,3507.518491,3505.449864,3502.162416,3499.672488,3498.229851,3499.638536,3499.917421,3506.768586,3521.067247,3524.148838,3518.205308,3510.576299,3504.794421,3501.147918,3499.799661,3500.135261,3519.647058,3542.22995,3543.166433,3531.747995,3519.253056,3510.071419,3504.223072,3499.725507,3501.875728,3535.201344,3561.99837,3558.955641,3542.308266,3525.797695,3513.942598,3506.336316,3499.695229,3504.914901,3548.380992,3575.227642,3568.025024,3547.711032,3528.74308,3515.199537,3506.240289,3499.740503,3508.032452,3555.632739,3579.400544,3568.957766,3546.946363,3526.959168,3512.259432,3501.661042,3499.823235,3510.008073,3555.613556,3574.303934,3561.717368,3539.329133,3518.645701,3501.914074,3487.743094
BFL,-56912.48651,8148.48141,6609.656565,6535.449278,6906.724447,7550.466719,8433.058235,9569.078724,11002.93592,37277.97091,7524.541799,6564.279521,6703.931969,7253.678837,8097.270501,9224.756914,10672.59576,12513.44195,22399.52054,7398.976659,6781.995492,7121.260256,7893.802429,9021.986206,10524.46764,12475.12114,15001.17851,18144.72751,7578.51294,7228.695476,7809.682967,8901.205063,10469.26271,12585.0996,15401.51124,19168.36223,16677.98408,8016.146177,7938.67749,8863.336637,10455.23282,12759.08324,15966.1685,20424.72524,26712.14071,16528.04185,8735.747758,9008.14409,10476.59036,12924.66975,16582.94269,21965.94932,30006.05204,42386.07899,17325.29839,9823.660872,10627.06678,13039.62016,17109.69555,23597.97605,34084.04305,51778.91324,83704.4351
S,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000
AR,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
FN,50360.27937,125953.4313,136399.8419,138834.7304,137899.9992,135308.6327,131898.6025,128103.548,124147.0008,95896.80776,130302.829,138806.8487,140188.944,138452.0423,135197.7111,131256.4053,127041.4343,122748.5664,102004.5377,132575.5761,139662.5745,140209.337,137758.3525,133903.0885,129479.4311,124878.681,120270.1734,105789.888,133366.2358,139306.7113,139062.5292,135921.0143,131494.0209,126606.1577,121620.3655,116682.2314,107897.5146,132985.2826,137846.1587,136766.8209,132922.8299,127920.3909,122548.1631,117136.9026,111814.0259,108694.8623,131581.5405,135293.7916,133283.3087,128681.9577,123048.4061,117115.5142,111183.5809,105370.7759,108398.2135,129211.9707,131622.9501,128537.1614,123059.2397,116664.3193,110022.3456,103413.0902,96958.94612
W_fuel,222574.3256,152261.0249,140599.8591,138134.0136,139070.331,141733.7399,145398.042,149705.4441,154476.5352,199983.7011,147178.6813,138161.7602,136799.6505,138515.8227,141850.0239,146109.4298,150957.0374,156236.436,188009.2687,144655.5927,137315.23,136779.7534,139213.3267,143221.4802,148114.634,153571.4373,159455.9815,181281.9627,143798.0042,137666.0059,137907.7359,141095.1694,145845.4035,151476.0332,157685.75,164359.2029,177740.874,144209.9318,139124.6497,140222.595,144277.6878,149919.7932,156491.9299,163721.2366,171515.142,176437.0287,145748.3966,141749.2873,143887.4735,149032.5363,155855.725,163751.1364,172487.6855,182003.0116,176919.8764,148421.2216,145702.543,149200.4205,155842.0041,164384.4378,174308.2138,185448.4622,197792.9764
W_empty,367757.2252,399798.246,419974.2236,437022.3242,452572.3723,467326.9406,481665.2284,495798.7842,509848.8994,381797.8637,414811.4544,438585.1684,459217.7674,478305.9003,496621.8771,514588.2643,532437.4058,550302.6444,393823.0766,431320.6563,459736.3923,484949.0034,508639.6942,531669.8789,554506.5921,577406.8704,600523.089,406489.2677,449706.112,483912.5804,514941.4068,544626.1636,573919.5995,603337.9605,633174.3742,663614.5343,420063.2559,470328.9111,511706.0792,550156.6655,587700.3398,625389.247,663807.8405,703310.8973,744144.7668,434770.01,493597.1471,543888.669,591890.4575,639839.1727,688918.0083,739824.1286,793023.7427,848874.1179,450832.9049,520013.2256,581478.7116,641898.1457,703784.1029,768525.0452,837017.4999,909929.7182,987819.6483
MRW,579479.6157,564359.278,572898.7581,587666.791,604241.4459,621581.3746,639453.1021,657790.2197,676547.3071,594060.9114,574286.6632,589314.117,609140.8442,630077.4361,651509.7363,673439.2075,695901.2294,718890.3223,594121.5837,588281.8394,610122.4338,635679.1002,661869.976,688490.5005,715735.9859,743720.217,772471.4688,600057.0131,605881.1808,635263.1658,667592.0155,700398.0062,733827.9934,768230.4887,803788.281,840571.2892,610088.6527,627041.3508,665053.8686,705693.1505,747082.1685,789652.7053,833884.9305,880043.1302,928265.71,623493.9573,651980.0342,700191.071,751342.1435,804107.9807,859164.2646,917136.5777,978415.6,1043263.505,640043.8461,681158.8502,741796.4079,806566.0457,874674.1522,947056.6536,1024554.313,1107779.598,1197219.959
