time,pitch_desired,ang_pitch,angvel_pitch,u2
0,0,0,0,0
0.02,0.016444531,0,0,0.041111327
0.04,0.032860212,0.002055566,0.205556635,0.041039204
0.06,0.049218246,0.008218659,0.410752653,0.030617252
0.08,0.065489934,0.017964575,0.563838913,0.020141587
0.1,0.08164673,0.030248433,0.664546849,0.012200045
0.12,0.09766029,0.044149372,0.725547076,0.006806558
0.14,0.113502521,0.059000641,0.759579867,0.003328224
0.16,0.12914563,0.07435865,0.776220984,0.001128779
0.18,0.144562174,0.089939508,0.781864879,-0.00026969
0.2,0.159725106,0.105563321,0.780516428,-0.001185913
0.22,0.174607827,0.121114354,0.774586864,-0.001819021
0.24,0.189184225,0.136515141,0.765491761,-0.002288346
0.26,0.203428731,0.151710558,0.754050031,-0.002663324
0.28,0.217316353,0.166658393,0.740733409,-0.002983446
0.3,0.230822729,0.181323889,0.72581618,-0.003270731
0.32,0.243924163,0.195676676,0.709462523,-0.003537224
0.34,0.256597671,0.209689065,0.691776404,-0.003789356
0.36,0.26882102,0.223335125,0.672829626,-0.004030448
0.38,0.280572765,0.236590195,0.652677384,-0.004262118
0.4,0.291832291,0.249430637,0.631366794,-0.004485056
0.42,0.302579843,0.26183372,0.608941515,-0.004699459
0.44,0.312796567,0.273777578,0.585444221,-0.004905265
0.46,0.32246454,0.285241199,0.560917898,-0.005102279
0.48,0.331566801,0.296204443,0.535406505,-0.005290243
0.5,0.340087381,0.306648061,0.508955289,-0.005468876
0.52,0.348011332,0.316553723,0.48161091,-0.005637887
0.54,0.355324753,0.325904047,0.453421475,-0.005796993
0.56,0.362014813,0.334682627,0.424436508,-0.005945923
0.58,0.368069777,0.342874061,0.394706895,-0.006084417
0.6,0.373479021,0.350463978,0.364284812,-0.006212235
0.62,0.378233056,0.357439062,0.333223638,-0.006329153
0.64,0.382323541,0.363787077,0.301577872,-0.006434968
0.66,0.385743301,0.369496886,0.269403032,-0.006529493
0.68,0.388486337,0.374558472,0.236755567,-0.006612563
0.7,0.390547835,0.378962955,0.203692751,-0.006684033
0.72,0.39192418,0.382702609,0.170272589,-0.006743776
0.74,0.392612956,0.385770872,0.13655371,-0.006791688
0.76,0.392612956,0.388162362,0.102595269,-0.006827685
0.78,0.39192418,0.389872883,0.068456842,-0.006851705
0.8,0.390547835,0.390899434,0.034198318,-0.006863704
0.82,0.388486337,0.391240216,-0.000120202,-0.006863662
0.84,0.385743301,0.390894628,-0.03443851,-0.006851578
0.86,0.382323541,0.389863279,-0.068696402,-0.006827475
0.88,0.378233056,0.388147977,-0.102833777,-0.006791394
0.9,0.373479021,0.385751732,-0.136790747,-0.006743398
0.92,0.368069777,0.382678747,-0.170507739,-0.006683573
0.94,0.362014813,0.378934414,-0.203925603,-0.006612022
0.96,0.355324753,0.374525301,-0.236985711,-0.006528871
0.98,0.348011332,0.369459143,-0.269630067,-0.006434267
1,0.340087381,0.363744828,-0.301801399,-0.006328374
1.02,0.331566801,0.357392382,-0.33344327,-0.00621138
1.04,0.32246454,0.350412947,-0.364500167,-0.006083488
1.06,0.312796567,0.34281877,-0.394917608,-0.005944924
