time,pitch_desired,ang_pitch,angvel_pitch,u2
1.86,-0.167203137,-0.238533373,0.967391727,0.009032037
1.88,-0.144562174,-0.218733936,1.012551913,0.008232821
1.9,-0.12135069,-0.198071257,1.053716019,0.007401114
1.92,-0.09766029,-0.176626881,1.090721589,0.006540198
1.94,-0.07358447,-0.154485439,1.123422579,0.005653471
1.96,-0.049218246,-0.131734314,1.151689934,0.004744432
1.98,-0.024657779,-0.108463294,1.175412095,0.003816669
2,1.64775E-15,-0.084764218,1.194495441,0.002873844
2.02,0.024657779,-0.060730617,1.208864659,0.001919676
2.04,0.049218246,-0.03645734,1.218463041,0.000957933
2.06,0.07358447,-0.012040183,1.223252706,-7.59095E-06
2.08,0.09766029,0.012424492,1.223214751,-0.000973085
2.1,0.12135069,0.036840132,1.218349326,-0.001934739
2.12,0.144562174,0.061110382,1.208675634,-0.002888757
2.14,0.167203137,0.085139457,1.19423185,-0.003831374
2.16,0.189184225,0.108832525,1.17507498,-0.004758871
2.18,0.21041869,0.132096081,1.151280625,-0.005667587
2.2,0.230822729,0.154838314,1.122942691,-0.006553935
2.22,0.250315815,0.176969472,1.090173016,-0.007414418
2.24,0.26882102,0.198402211,1.053100926,-0.00824564
2.26,0.286265311,0.219051947,1.011872728,-0.00904432
2.28,0.302579843,0.238837186,0.96665113,-0.009807306
2.3,0.317700231,0.257679843,0.917614602,-0.010531587
2.32,0.331566801,0.275505556,0.864956668,-0.011214305
2.34,0.344124829,0.292243974,0.808885145,-0.011852765
2.36,0.355324753,0.307829039,0.749621323,-0.012444447
2.38,0.365122372,0.322199243,0.687399087,-0.012987017
2.4,0.373479021,0.335297874,0.622464001,-0.013478333
2.42,0.380361718,0.347073237,0.555072335,-0.013916457
2.44,0.385743301,0.357478861,0.485490051,-0.014299658
2.46,0.389602532,0.366473679,0.41399176,-0.014626425
2.48,0.39192418,0.374022193,0.340859632,-0.014895469
2.5,0.392699082,0.380094612,0.266382288,-0.015105727
2.52,0.39192418,0.384666972,0.190853654,-0.015256369
2.54,0.389602532,0.387721226,0.114571808,-0.015346802
2.56,0.385743301,0.389245322,0.037837799,-0.015376667
2.58,0.380361718,0.389233245,-0.039045538,-0.015345848
2.6,0.373479021,0.387685042,-0.11577478,-0.015254466
2.62,0.365122372,0.384606823,-0.192047113,-0.015102882
2.64,0.355324753,0.380010737,-0.267561522,-0.014891693
2.66,0.344124829,0.373914921,-0.342019989,-0.014621734
2.68,0.331566801,0.366343435,-0.415128659,-0.014294069
2.7,0.317700231,0.357326158,-0.486599006,-0.013909993
2.72,0.302579843,0.346898678,-0.556148969,-0.013471019
2.74,0.286265311,0.335102148,-0.623504066,-0.012978882
2.76,0.26882102,0.321983123,-0.688398478,-0.012435523
2.78,0.250315815,0.307593377,-0.750576095,-0.011843087
2.8,0.230822729,0.291989701,-0.809791531,-0.011203912
2.82,0.21041869,0.275233674,-0.86581109,-0.01052052
2.84,0.189184225,0.257391427,-0.918413688,-0.009795608
2.86,0.167203137,0.238533373,-0.967391727,-0.009032037
2.88,0.144562174,0.218733936,-1.012551913,-0.008232821
2.9,0.12135069,0.198071257,-1.053716019,-0.007401114
2.92,0.09766029,0.176626881,-1.090721589,-0.006540198
2.94,0.07358447,0.154485439,-1.123422579,-0.005653471
2.96,0.049218246,0.131734314,-1.151689934,-0.004744432
2.98,0.024657779,0.108463294,-1.175412095,-0.003816669
3,-2.64602E-15,0.084764218,-1.194495441,-0.002873844
3.02,-0.024657779,0.060730617,-1.208864659,-0.001919676
3.04,-0.049218246,0.03645734,-1.218463041,-0.000957933
3.06,-0.07358447,0.012040183,-1.223252706,7.59095E-06
3.08,-0.09766029,-0.012424492,-1.223214751,0.000973085
3.1,-0.12135069,-0.036840132,-1.218349326,0.001934739
3.12,-0.144562174,-0.061110382,-1.208675634,0.002888757
3.14,-0.167203137,-0.085139457,-1.19423185,0.003831374
3.16,-0.189184225,-0.108832525,-1.17507498,0.004758871
3.18,-0.21041869,-0.132096081,-1.151280625,0.005667587
3.2,-0.230822729,-0.154838314,-1.122942691,0.006553935
3.22,-0.250315815,-0.176969472,-1.090173016,0.007414418
3.24,-0.26882102,-0.198402211,-1.053100926,0.00824564
3.26,-0.286265311,-0.219051947,-1.011872728,0.00904432
3.28,-0.302579843,-0.238837186,-0.96665113,0.009807306
