time,pitch_desired,ang_pitch,angvel_pitch,u2
0,0,0,0,0
0.02,0.000986959,0,0,0.002467399
0.04,0.001973913,0.00012337,0.012336993,0.002467383
0.06,0.002960853,0.000493479,0.024673907,0.001850502
0.08,0.003947775,0.001079482,0.033926418,0.00123361
0.1,0.004934672,0.001819691,0.040094466,0.000770922
0.12,0.005921538,0.002660126,0.043949075,0.000462441
0.14,0.006908367,0.00356223,0.046261282,0.000269617
0.16,0.007895152,0.004500936,0.047609369,0.000153898
0.18,0.008881887,0.005460819,0.048378859,8.6369E-05
0.2,0.009868565,0.006432714,0.048810704,4.77542E-05
0.22,0.010855182,0.007411316,0.049049475,2.60061E-05
0.24,0.01184173,0.008393606,0.049179506,1.38962E-05
0.26,0.012828203,0.009377891,0.049248987,7.20763E-06
0.28,0.013814595,0.010363231,0.049285025,3.53102E-06
0.3,0.0148009,0.011349108,0.04930268,1.51096E-06
0.32,0.015787112,0.012335237,0.049310235,3.94477E-07
0.34,0.016773223,0.013321462,0.049312207,-2.32562E-07
0.36,0.017759229,0.014307694,0.049311045,-5.96054E-07
0.38,0.018745122,0.015293885,0.049308064,-8.18355E-07
0.4,0.019730898,0.016280006,0.049303972,-9.65353E-07
0.42,0.020716548,0.017266037,0.049299146,-1.07234E-06
0.44,0.021702068,0.018251966,0.049293784,-1.15815E-06
0.46,0.02268745,0.019237784,0.049287993,-1.23277E-06
0.48,0.02367269,0.020223482,0.049281829,-1.30149E-06
0.5,0.024657779,0.021209054,0.049275322,-1.36713E-06
0.52,0.025642713,0.022194492,0.049268486,-1.43113E-06
0.54,0.026627485,0.02317979,0.049261331,-1.49428E-06
0.56,0.027612089,0.024164942,0.049253859,-1.55699E-06
0.58,0.028596519,0.025149941,0.049246074,-1.61945E-06
0.6,0.029580767,0.026134782,0.049237977,-1.68178E-06
0.62,0.030564829,0.027119457,0.049229568,-1.74404E-06
0.64,0.031548698,0.028103961,0.049220848,-1.80625E-06
0.66,0.032532368,0.029088288,0.049211817,-1.86844E-06
0.68,0.033515832,0.030072431,0.049202475,-1.93061E-06
0.7,0.034499084,0.031056384,0.049192822,-1.99276E-06
0.72,0.035482119,0.032040141,0.049182858,-2.05489E-06
0.74,0.036464929,0.033023695,0.049172583,-2.11701E-06
0.76,0.037447509,0.034007041,0.049161998,-2.17912E-06
0.78,0.038429853,0.034990172,0.049151103,-2.24122E-06
0.8,0.039411953,0.035973082,0.049139896,-2.30329E-06
0.82,0.040393805,0.036955765,0.04912838,-2.36536E-06
0.84,0.041375402,0.037938214,0.049116553,-2.42741E-06
0.86,0.042356737,0.038920424,0.049104416,-2.48944E-06
0.88,0.043337805,0.039902387,0.049091969,-2.55146E-06
0.9,0.044318599,0.040884099,0.049079212,-2.61346E-06
0.92,0.045299113,0.041865553,0.049066144,-2.67545E-06
0.94,0.046279341,0.042846742,0.049052767,-2.73742E-06
0.96,0.047259276,0.04382766,0.04903908,-2.79937E-06
0.98,0.048238913,0.044808302,0.049025083,-2.8613E-06
1,0.049218246,0.045788661,0.049010777,-2.92322E-06
1.02,0.050197267,0.04676873,0.048996161,-2.98512E-06
1.04,0.051175972,0.047748504,0.048981235,-3.04699E-06
1.06,0.052154353,0.048727976,0.048966,-3.10885E-06
1.08,0.053132405,0.049707141,0.048950456,-3.17069E-06
1.1,0.054110121,0.050685991,0.048934602,-3.23251E-06
1.12,0.055087495,0.051664522,0.04891844,-3.29431E-06
1.14,0.056064521,0.052642726,0.048901968,-3.35609E-06
1.16,0.057041194,0.053620598,0.048885188,-3.41785E-06
1.18,0.058017505,0.05459813,0.048868098,-3.47958E-06
1.2,0.058993451,0.055575318,0.048850701,-3.5413E-06
1.22,0.059969024,0.056552155,0.048832994,-3.60299E-06
1.24,0.060944218,0.057528635,0.048814979,-3.66466E-06
1.26,0.061919027,0.058504751,0.048796656,-3.7263E-06
1.28,0.062893445,0.059480498,0.048778024,-3.78792E-06
1.3,0.063867465,0.060455869,0.048759085,-3.84952E-06
1.32,0.064841083,0.061430859,0.048739837,-3.91109E-06
1.34,0.06581429,0.06240546,0.048720282,-3.97264E-06
1.36,0.066787082,0.063379667,0.048700418,-4.03417E-06
1.38,0.067759452,0.064353473,0.048680248,-4.09566E-06
1.4,0.068731395,0.065326874,0.048659769,-4.15714E-06
1.42,0.069702902,0.066299861,0.048638984,-4.21858E-06
1.44,0.07067397,0.06727243,0.048617891,-4.28E-06
1.46,0.071644591,0.068244574,0.048596491,-4.34139E-06
1.48,0.07261476,0.069216286,0.048574784,-4.40276E-06
1.5,0.07358447,0.070187562,0.04855277,-4.4641E-06
1.52,0.074553715,0.071158394,0.048530449,-4.52541E-06
1.54,0.07552249,0.072128777,0.048507822,-4.58669E-06
1.56,0.076490787,0.073098704,0.048484889,-4.64794E-06
1.58,0.077458601,0.074068169,0.048461649,-4.70916E-06
1.6,0.078425926,0.075037167,0.048438104,-4.77035E-06
1.62,0.079392755,0.07600569,0.048414252,-4.83151E-06
1.64,0.080359083,0.076973734,0.048390094,-4.89265E-06
1.66,0.081324904,0.077941291,0.048365631,-4.95375E-06
1.68,0.08229021,0.078908356,0.048340862,-5.01482E-06
1.7,0.083254997,0.079874923,0.048315788,-5.07585E-06
1.72,0.084219258,0.080840985,0.048290409,-5.13686E-06
1.74,0.085182987,0.081806536,0.048264725,-5.19783E-06
1.76,0.086146178,0.08277157,0.048238735,-5.25877E-06
1.78,0.087108825,0.083736082,0.048212442,-5.31968E-06
1.8,0.088070922,0.084700065,0.048185843,-5.38055E-06
1.82,0.089032462,0.085663513,0.04815894,-5.44139E-06
1.84,0.08999344,0.08662642,0.048131733,-5.5022E-06
1.86,0.09095385,0.087588779,0.048104222,-5.56297E-06
1.88,0.091913685,0.088550586,0.048076408,-5.6237E-06
1.9,0.092872939,0.089511832,0.048048289,-5.6844E-06
1.92,0.093831607,0.090472514,0.048019867,-5.74507E-06
1.94,0.094789682,0.091432624,0.047991142,-5.8057E-06
